name,latitude,longitude
Abanilla,38.20143,-1.03888
Abrera,41.50821,1.88768
A Coruña,43.352251,-8.409621
Adra,36.75174,-2.991865
Agramunt,41.78055,1.09516
Agreda,41.856487,-1.925157
Aguilas,37.41495,-1.58612
Aiguafreda,41.78046,2.24544
Ajalvir,40.53711,-3.476938
Alacant,38.344425,-0.494857
Alagón,41.76311,-1.12601
Albacete,38.998256,-1.876265
Albaida,,
Albal,39.39357,-0.42003
Albatera,38.1772,-0.87369
Albinyana,41.242386,1.52276
Albolote,37.238957,-3.64909
Alcalá de Guadaira,37.3139,-5.8632
Alcalá de Henares,40.4803,-3.39278
Alcalà de Xivert,40.23302042,0.27216468
Alcanar,40.54062,0.4751
Alcanar Platja,40.568121,0.537665
Alcañiz,41.05222,-0.15557
Alcantarilla,37.9759,-1.21741
Alcarràs,41.562958,0.51853
Alcobendas,40.5474,-3.65436
Alcoi,38.68942,-0.47942
Alcoletge,41.65218,0.690106
Alcorcón,40.350092,-3.831717
Aldeaseca de la Armuña,41.01969,-5.67055
Alella,41.480339,2.304791
Alfafar,,
Alfajarín,41.592457,-0.669978
Alfaro,42.179979,-1.760741
Alfarràs,41.824425,0.568666
Alfarrasi,38.89548,-0.49747
Algemesí,,
Alginet,39.26454,-0.46785
Alguaire,41.73252,0.587372
Alicante,38.344425,-0.494857
Alió,41.290873,1.348636
Aljucer,37.954308,-1.152025
Almacelles,41.73418,0.43435
Almansa,38.87954,-1.10027
Almería,36.834728,-2.456217
Almoradí,,
Almuñécar,,
Alpedrete,40.63844,-4.01842
Alquerías del Niño Perdido,39.892,-0.12476
Altafulla,41.14088,1.381126
Altea,38.59517057,-0.053191532
Alzira,39.15522,-0.44865
Amposta,40.692548,0.581594
Anglès,41.95834,2.64619
ANSOÁIN,42.83261,-1.64378
Antequera,,
Arahal,37.259284,-5.539657
Aranda de Duero,41.66533,-3.691567
ARANGUREN,42.78648,-1.61841
Aranjuez,40.026509,-3.606168
Arenys de Mar,41.573948,2.539448
Arenys de Munt,41.59232,2.54291
Arévalo,41.05958,-4.720374
Arganda del Rey,40.30364,-3.43523
Argentona,41.55164,2.40488
Arnedo,42.223919,-2.11121
Arrigorriaga,,
Artesa de Segre,41.89106,1.05038
Astillero,,
Asturias,,
Ateca,41.325433,-1.785822
Autol,42.215196,-2.014237
Avilés,,
Avinyonet del Penedés,41.36089,1.77804
Badalona,41.460956,2.226121
Badia del Vallès,41.48847417,2.142406354
Bagà,42.24042,1.87253
Balaguer,41.790533,0.817688
Balenyà,41.81294,2.23315
Balmaseda,,
Banyeres de Mariola,,
Banyoles,42.110465,2.775577
Barajas,40.4915,-3.59407
Barakaldo,,
BARAÑAIN,42.80365,-1.68691
Barbastro,42.03004,0.1301
Barberà del Vallès,41.51793,2.11204
Barcelona,41.392338,2.164656
Basauri,,
Begur,41.93763,3.160988
Bellcaire d'Urgell,41.760224,0.899146
Bellcaire Empordà,42.07965,3.10032
Bellpuig,41.632317,1.005713
Bellvei,41.23797,1.5772
Benalmadena,36.5991,-4.53649
Benejúzar,,
Benetússer,39.421224,-0.396361
Beniarbeig,38.817794,0.000935
Benicarló,40.41231,0.39945
Benicàssim,40.057,0.06715
Benidorm,38.55474,-0.10569
Benifaió,39.27966,-0.41883
Beniparrell,39.38045,-0.41262
Benissa,38.71618,0.0568
Benitatxell,38.731314,0.148018
Berdún,42.59892,-0.85463
Berga,42.105,1.8556
BERIÁIN,,
BERRIOPLANO,42.84994,-1.683016
BERRIOZAR,42.834694,-1.670592
Bescanó,41.96941,2.77193
Bétera,39.571246,-0.484894
Biescas,42.623255,-0.327272
Bigastro,,
Bigues,41.66767,2.22865
Bilbao,43.260933,-2.927524
Binefar,41.853784,0.294552
Blanes,41.68724,2.79553
BLANES (GERONA),,
Bormujos,37.371905,-6.072312
Bràfim,41.269431,1.337666
Breda,41.75097,2.55937
Brenes,37.54401,-5.87739
Bujaraloz,41.49582,-0.15333
Burgos,42.354956,-3.753939
Burlada,42.49551,-1.36966
Burriana,39.87991,-0.10396
Cabanillas del Campo,40.62015,-3.24209
Cáceres,39.461161,-6.385651
Cacicedo,43.43572,-3.87437
Cadaqués,,
Cádiz,36.528105,-6.28799
Cadrete,41.55167,-0.97087
Calafell,41.210628,1.569768
Calahorra,42.30895,-1.975463
Calatayud,41.353459,-1.649024
Caldes de Montbui,41.62679,2.17468
Calella,,
Calldetenes,41.92615,2.28586
Callosa de Segura,,
Calonge,41.85099,3.058244
Calp,38.64219897,0.066585464
Camarasa,41.87269,0.87478
Camarles,40.77093,0.67275
Cambrils,41.062746,1.022769
Campdevànol,42.224547,2.170709
Campohermoso,36.93457,-2.127518
Campos,39.42581,3.02372
Camprodon,42.29397,2.35978
Canet de Mar,41.58668,2.580612
Canovelles,41.622887,2.277051
Can Picafort,39.761114,3.153379
Cantallops - Subirats,41.36843,1.80171
Carcaixent,39.12697,-0.44289
Cardedeu,41.62438,2.36321
Cardona,41.918326,1.683671
Cariñena,41.334799,-1.22471
Carmona,37.46722,-5.661049
Cartagena,37.6185,-0.99595
Cartaya,37.287163,-7.15902
Cartes,43.32627,-4.07123
Casarrubuelos,40.17109,-3.81348
Caspe,41.22778,-0.03444
Cassà de la Selva,41.88938,2.86146
Castalla,38.601457,-0.669647
Castejón,42.137584,-1.700606
Castejón del Puente,41.96066,0.15587
Castellar del Vallès,41.61956,2.0792
Castelldefels,41.282162,1.981329
Castelló de Farfanya,41.817725,0.729888
Castelló de la Plana,40.01333,-0.03716
Castelló de la Ribera-Villanueva de Castellón,39.065073,-0.539998
Castelló d'Empúries,42.254844,3.069676
Castellón,39.988259,-0.052266
Castellón de la Plana,,
Castell-Platja d'Aro,,
Cerdanyola del Vallès,41.4988,2.1347
Cervelló,41.39412,1.95164
CERVELLÓ (BARCELONA),,
Cervera,41.666877,1.269422
Chauchina,,
Chella,39.03723,-0.65786
Cheste,38.27186,-0.625415
CHICLANA,,
Chiclana de la Frontera,36.33619965,-6.15777499
Chilches,39.79,-0.17204
Chiva,39.46093,-0.72773
Cidatella de Menorca,39.997017,3.844663
CiemPozuelos,,
Ciudad Real,38.985362,-3.913239
CIZUR,,
Cocentaina,38.71969,-0.456138
Collado Villalba,,
Collbató,41.561717,1.828344
Coll de Nargó,42.17237,1.32046
Colmenar Viejo,40.6452,-3.77697
Corçà,41.98708,3.01718
CÓrcer,39.0672,-0.5637
Córdoba,37.888089,-4.789299
Cornellà de Llobregat,41.36207,2.07377
Coslada,40.350092,-3.831717
Crevillent,38.2437,-0.81125
Cubelles,41.20062747,1.668342046
Cuenca,40.05401,-2.12591
Cullera,39.180626,-0.263001
Cunit,41.199071,1.63659
Daimús,38.967298,-0.154656
Deltebre,40.724895,0.721001
Dénia,38.83911,0.0987
Dolores,,
Dos Hermanas,37.28711,-5.923869
Ecija,37.525209,-5.116233
EGÜÉS,42.80872,-1.58822
Ejea de los Caballeros,42.12212,-1.14284
El Alamo,40.23109,-3.97863
El Algar,37.652,-0.86741
El Campello,38.39983332,-0.406497363
El Catllar,41.1674,1.2743
Elche,39.495495,-0.695206
Elda,38.475044,-0.800576
El Escorial,,
El Masnou,41.4846,2.33648
El Palmar,37.950431,-1.155339
El Papiol,41.436847,2.016408
El Peral,39.50356,-1.89852
El Perelló,40.880594,0.716348
El Pont de Suert,42.40218,0.74243
El Prat de Llobregat,41.319155,2.083532
El Puerto de Mazarrón,37.560398,-1.269157
El Puerto de Santa María,36.59960146,-6.245535094
Els Prats de Rei,41.70483,1.53932
El Vendrell,41.232262,1.528217
El Verger,,
El Villar de Arnedo,42.31773,-2.09071
Elx,38.25568,-0.75048
Empuriabrava,42.26218,3.10091
